round,file,fitness,instructions,normalized_fitness
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_46.S,0.91,157,0.0154472924800543
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.91,102,0.0154472924800543
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0154472924800543
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0154472924800543
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_70.S,0.9,98,0.0152775420132405
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0152775420132405
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.91,102,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_71.S,0.91,102,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_40.S,0.91,162,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_46.S,0.91,157,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_10.S,0.91,130,0.0164884942924442
27,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.0163073020474723
28,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_40.S,0.91,162,0.0141436120609263
28,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0141436120609263
28,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_10.S,0.91,130,0.0141436120609263
